userId,isNew,cityId,purchaseDate,isTestDrive,closeDate
429019,0,1,2019-12-23,1,
375998,1,2,2019-10-07,0,
375998,1,2,2019-10-07,0,
375998,1,2,2019-10-07,0,
453688,0,3,2019-08-01,0,
688968,1,4,2019-08-01,0,
641128,0,4,2019-08-01,0,
848644,0,5,2019-08-01,0,
609556,0,5,2019-08-01,0,
593672,0,6,2019-08-01,0,
287505,0,7,2019-08-01,0,
184881,0,7,2019-08-01,0,
184881,0,7,2019-08-01,0,
427473,1,7,2019-08-01,0,
167588,1,7,2019-08-01,0,
195934,1,8,2019-08-01,0,
379108,0,8,2019-08-01,1,
120625,1,9,2019-08-01,0,
728623,0,10,2019-08-01,0,
414012,0,11,2019-08-01,0,
730156,0,12,2019-08-01,0,
660458,1,13,2019-08-01,0,
787562,1,14,2019-08-01,0,
153778,0,1,2019-08-01,0,
761621,1,15,2019-08-01,1,
773438,1,16,2019-08-01,0,
508586,0,16,2019-08-01,0,
299169,0,16,2019-08-01,0,
221451,0,16,2019-08-02,0,
859153,1,17,2019-08-02,0,
856363,1,3,2019-08-01,0,
856363,1,3,2019-08-01,0,
556928,1,3,2019-08-02,0,
309301,1,4,2019-08-01,0,
455199,0,4,2019-08-02,0,2019-11-18
756238,1,4,2019-08-01,0,2020-02-01
392187,0,4,2019-08-01,0,2020-01-01
587248,0,4,2019-08-01,0,
159463,1,18,2019-08-01,0,
122123,0,19,2019-08-02,0,
288284,1,6,2019-08-02,0,
331582,0,20,2019-08-01,0,
607373,1,7,2019-08-01,0,2019-08-26
292286,0,7,2019-08-01,0,
248895,0,7,2019-08-02,0,
619792,1,21,2019-08-01,0,2019-11-22
705797,0,21,2019-08-01,0,
835415,1,22,2019-08-01,0,
392028,0,8,2019-08-01,0,2019-12-16
289147,0,23,2019-08-01,0,
441457,0,23,2019-08-01,0,
773730,0,23,2019-08-01,0,
720857,0,23,2019-08-02,0,
497428,1,24,2019-08-01,1,
522677,1,24,2019-08-01,1,
268072,1,25,2019-08-02,0,
268072,1,25,2019-08-02,0,
530765,0,26,2019-08-02,0,
688503,1,9,2019-08-02,0,
312618,0,10,2019-08-02,0,
256282,1,10,2019-08-02,0,2020-01-09
559111,0,10,2019-08-02,0,
332492,0,10,2019-08-02,0,
332492,0,10,2019-08-02,0,
641949,0,10,2019-08-02,0,
626947,1,11,2019-08-01,0,
248797,1,11,2019-08-01,0,
216792,1,11,2019-08-01,0,
813923,0,11,2019-08-01,0,
299023,1,11,2019-08-01,0,
251344,0,12,2019-08-01,0,
146825,0,12,2019-08-01,0,
843410,1,12,2019-08-01,0,
230699,0,12,2019-08-01,0,
673718,0,12,2019-08-02,0,
280896,1,27,2019-08-01,0,
132965,1,27,2019-08-01,0,
228161,1,28,2019-08-02,1,
391780,1,2,2019-08-02,0,
192414,0,13,2019-08-01,0,
789970,0,13,2019-08-01,0,
724365,1,14,2019-08-02,0,
100054,1,1,2019-08-01,0,
757800,0,1,2019-08-02,0,
465481,0,1,2019-08-01,0,
859608,1,1,2019-08-01,0,
883856,0,1,2019-08-02,0,
478482,1,1,2019-08-01,0,2020-02-01
627510,1,29,2019-08-02,0,2019-11-21
627510,1,29,2019-08-02,0,2019-11-21
861630,0,15,2019-08-01,0,
337169,0,15,2019-08-02,0,
426274,0,16,2019-08-01,0,
607407,1,16,2019-08-01,0,
357080,1,16,2019-08-01,0,
112096,1,16,2019-08-03,0,
819191,1,16,2019-08-01,0,
433863,0,4,2019-08-03,1,
389891,0,4,2019-08-02,0,
504874,0,5,2019-08-02,0,
504874,0,5,2019-08-02,0,
261316,0,5,2019-08-02,0,
261316,0,5,2019-08-02,0,
191576,0,5,2019-08-02,0,
237548,1,18,2019-08-03,0,
237548,1,18,2019-08-03,0,
573755,0,6,2019-08-02,0,2019-10-04
864289,0,7,2019-08-02,0,
561290,0,7,2019-08-02,0,
154404,0,7,2019-08-02,0,
356449,0,30,2019-08-02,0,
377752,1,31,2019-08-01,0,
377752,1,31,2019-08-01,0,
139428,0,32,2019-08-02,0,
290876,1,8,2019-08-02,0,
541894,0,8,2019-08-03,0,
373677,1,8,2019-08-02,0,
548865,0,23,2019-08-03,0,
493316,0,23,2019-08-03,0,
731149,0,23,2019-08-01,0,
404467,0,9,2019-08-02,0,
207197,0,10,2019-08-02,0,
730497,0,10,2019-08-02,0,
153029,1,10,2019-08-02,0,
153029,1,10,2019-08-02,0,
542119,0,10,2019-08-02,0,
667403,1,11,2019-08-02,0,
212443,1,11,2019-08-02,0,
650706,0,11,2019-08-03,0,
755049,0,11,2019-08-03,0,
471910,1,11,2019-08-02,0,
471910,1,11,2019-08-02,0,
128396,1,11,2019-08-01,0,
559116,1,11,2019-08-01,0,
550531,1,11,2019-08-03,0,
777625,0,12,2019-08-03,0,
686127,1,12,2019-08-02,0,
573853,0,12,2019-08-02,0,
